Category,Name,Portion(fl oz),Calories,Calories from fat,Total Fat(g),Saturated fat(g),Trans fat(g),Cholesterol(mg),Sodium(mg),Total Carbohydrate(g),Dietary Fiber(g),Sugars(g),Protein(g),Caffeine(mg),Size,Milk,Whipped Cream
iced-coffee,Iced Coffee with Milk,16.0,35,10,1.5,0.5,0.0,5,35,3,0,3,2,150,Grande,2% Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,16.0,110,10,1.0,0.0,0.0,0,35,24,0,23,2,125,Grande,Soy (United States),Sweetened
iced-coffee,Iced Coffee with Milk,16.0,35,10,1.0,0.0,0.0,0,30,4,0,3,2,150,Grande,Soy (United States),Unsweetened
iced-coffee,Iced Coffee with Milk,24.0,150,15,1.5,0.0,0.0,0,60,32,0,31,1,170,Venti Iced,Almond,Sweetened
iced-coffee,Iced Coffee with Milk,24.0,30,15,1.5,0.0,0.0,0,60,2,0,1,1,205,Venti Iced,Almond,Unsweetened
iced-coffee,Iced Coffee with Milk,24.0,160,20,2.5,2.0,0.0,0,55,33,0,33,1,170,Venti Iced,Coconut,Sweetened
iced-coffee,Iced Coffee with Milk,24.0,40,20,2.5,2.0,0.0,0,45,3,0,3,1,205,Venti Iced,Coconut,Unsweetened
iced-coffee,Iced Coffee with Milk,24.0,160,0,0.0,0.0,0.0,0,60,35,0,35,4,170,Venti Iced,Nonfat milk,Sweetened
iced-coffee,Iced Coffee with Milk,24.0,40,0,0.0,0.0,0.0,0,50,5,0,5,4,205,Venti Iced,Nonfat milk,Unsweetened
iced-coffee,Iced Coffee with Milk,24.0,190,30,3.5,2.0,0.0,10,60,35,0,35,4,170,Venti Iced,Whole Milk,Sweetened
iced-coffee,Iced Coffee with Milk,24.0,70,30,3.5,2.0,0.0,10,50,5,0,5,4,205,Venti Iced,Whole Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,24.0,170,20,2.0,1.5,0.0,10,65,35,0,35,4,170,Venti Iced,2% Milk,Sweetened
iced-coffee,Iced Coffee with Milk,24.0,60,20,2.0,1.0,0.0,10,55,5,0,5,4,205,Venti Iced,2% Milk,Unsweetened
iced-coffee,Iced Coffee with Milk,24.0,180,15,1.5,0.0,0.0,0,55,36,0,35,3,170,Venti Iced,Soy (United States),Sweetened
iced-coffee,Iced Coffee with Milk,24.0,60,15,1.5,0.0,0.0,0,45,7,0,5,3,205,Venti Iced,Soy (United States),Unsweetened
iced-coffee,Iced Espresso Classics  - Vanilla Latte,8.0,130,25,2.5,1.5,0.0,10,65,21,0,19,5,85,,,
iced-coffee,Iced Espresso Classics - Caffe Mocha,8.0,140,25,2.5,2.0,0.0,10,90,23,0,21,5,85,,,
iced-coffee,Iced Espresso Classics - Caramel Macchiato,8.0,130,25,2.5,1.5,0.0,10,65,21,0,19,5,85,,,
iced-coffee,Nitro Cold Brew,12.0,5,0,0.0,0.0,0.0,0,10,0,0,0,0,215,Tall,,
iced-coffee,Nitro Cold Brew,16.0,5,0,0.0,0.0,0.0,0,10,0,0,0,0,280,Grande,,
iced-coffee,Nitro Cold Brew with Cascara Cold Foam,12.0,60,0,0.0,0.0,0.0,0,20,12,0,12,1,200,Tall,,
iced-coffee,Nitro Cold Brew with Cascara Cold Foam,16.0,80,0,0.0,0.0,0.0,0,30,18,0,18,2,270,Grande,,
iced-coffee,Nitro Cold Brew with Sweet Cream,12.0,70,50,5.0,3.5,0.0,15,15,4,0,4,1,200,Tall,,
iced-coffee,Nitro Cold Brew with Sweet Cream,16.0,70,50,5.0,3.5,0.0,15,20,4,0,4,1,265,Grande,,
iced-coffee,Starbucks® Cold Brew Coffee,12.0,5,0,0.0,0.0,0.0,0,10,0,0,0,0,155,Tall,,
iced-coffee,Starbucks® Cold Brew Coffee,16.0,5,0,0.0,0.0,0.0,0,15,0,0,0,0,205,Grande,,
iced-coffee,Starbucks® Cold Brew Coffee,24.0,5,0,0.0,0.0,0.0,0,20,0,0,0,0,310,Venti Iced,,
iced-coffee,Starbucks® Cold Brew Coffee,30.0,5,0,0.0,0.0,0.0,0,25,0,0,0,0,360,Trenta Iced,,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12.0,15,5,1.0,0.0,0.0,0,30,1,0,1,0,155,Tall,Almond,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12.0,20,10,1.0,1.0,0.0,0,30,2,0,2,0,155,Tall,Coconut,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12.0,20,0,0.0,0.0,0.0,0,30,2,0,2,2,155,Tall,Nonfat milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12.0,30,10,1.5,1.0,0.0,5,30,2,0,2,2,155,Tall,Whole Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12.0,25,10,1.0,0.5,0.0,5,30,2,0,2,2,155,Tall,2% Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12.0,25,5,1.0,0.0,0.0,0,25,3,0,2,1,155,Tall,Soy (United States),
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16.0,20,10,1.0,0.0,0.0,0,40,1,0,1,1,205,Grande,Almond,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16.0,25,15,1.5,1.5,0.0,0,35,2,0,2,0,205,Grande,Coconut,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16.0,25,0,0.0,0.0,0.0,0,40,3,0,3,2,205,Grande,Nonfat milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16.0,40,20,2.0,1.0,0.0,5,40,3,0,3,2,205,Grande,Whole Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16.0,35,10,1.5,1.0,0.0,5,40,3,0,3,2,205,Grande,2% Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16.0,35,10,1.0,0.0,0.0,0,35,4,0,3,2,205,Grande,Soy (United States),
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24.0,30,15,1.5,0.0,0.0,0,60,2,0,1,1,310,Venti Iced,Almond,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24.0,40,20,2.5,2.0,0.0,0,55,3,0,3,0,310,Venti Iced,Coconut,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24.0,40,0,0.0,0.0,0.0,0,60,5,0,5,4,310,Venti Iced,Nonfat milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24.0,70,30,3.5,2.0,0.0,10,60,5,0,5,4,310,Venti Iced,Whole Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24.0,60,20,2.0,1.5,0.0,10,65,5,0,5,4,310,Venti Iced,2% Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24.0,60,15,1.5,0.0,0.0,0,55,7,0,5,3,310,Venti Iced,Soy (United States),
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30.0,40,20,2.0,0.0,0.0,0,75,3,1,2,1,360,Trenta Iced,Almond,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30.0,50,25,3.0,3.0,0.0,0,70,4,0,4,1,360,Trenta Iced,Coconut,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30.0,50,0,0.0,0.0,0.0,5,75,7,0,7,5,360,Trenta Iced,Nonfat milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30.0,90,40,4.5,2.5,0.0,15,75,6,0,6,4,360,Trenta Iced,Whole Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30.0,70,25,2.5,1.5,0.0,10,80,6,0,6,5,360,Trenta Iced,2% Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30.0,70,20,2.0,0.0,0.0,0,70,8,1,7,4,360,Trenta Iced,Soy (United States),
iced-coffee,Vanilla Sweet Cream Cold Brew,30.0,210,100,11.0,7.0,0.0,40,45,26,0,26,2,320,Trenta Iced,,
iced-coffee,Vanilla Sweet Cream Cold Brew,12.0,90,50,5.0,3.5,0.0,15,20,9,0,9,1,145,Tall,,
iced-coffee,Vanilla Sweet Cream Cold Brew,16.0,110,50,5.0,3.5,0.0,15,20,14,0,14,1,185,Grande,,
iced-coffee,Vanilla Sweet Cream Cold Brew,24.0,200,100,11.0,7.0,0.0,35,35,23,0,23,2,275,Venti Iced,,
refreshers,Pink Drink,12.0,110,20,2.0,1.5,0.0,0,50,21,1,19,0,35–45,Tall,,
refreshers,Pink Drink,16.0,140,25,2.5,2.5,0.0,0,65,27,2,24,1,45–55,Grande,,
refreshers,Pink Drink,24.0,200,35,4.0,3.5,0.0,0,95,39,1,35,1,70–85,Venti Iced,,
refreshers,Pink Drink,30.0,270,45,5.0,4.5,0.0,0,130,55,2,48,1,90–110,Trenta Iced,,
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,12.0,110,0,0.0,0.0,0.0,0,10,27,1,24,0,35–45,Tall,,
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,16.0,140,0,0.0,0.0,0.0,0,15,35,1,32,0,45–55,Grande,,
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,24.0,200,0,0.0,0.0,0.0,0,20,51,1,47,0,70–85,Venti Iced,,
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,30.0,280,0,0.0,0.0,0.0,0,25,70,2,63,1,90–110,Trenta Iced,,
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,12.0,80,0,0.0,0.0,0.0,0,10,18,1,16,0,35–45,Tall,,
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,16.0,90,0,0.0,0.0,0.0,0,15,23,1,20,0,45–55,Grande,,
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,24.0,130,0,0.0,0.0,0.0,0,20,33,1,30,0,70–85,Venti Iced,,
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,30.0,190,0,0.0,0.0,0.0,0,30,46,2,41,0,90–110,Trenta Iced,,
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,12.0,90,0,0.0,0.0,0.0,0,10,23,1,21,0,35–45,Tall,,
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,16.0,120,0,0.0,0.0,0.0,0,15,29,1,25,1,45–55,Grande,,
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,20.0,170,0,0.0,0.0,0.0,0,15,43,1,39,0,70–85,Venti Iced,,
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,30.0,240,0,0.0,0.0,0.0,0,20,59,3,53,0,90–110,Trenta Iced,,
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,30.0,130,0,0.0,0.0,0.0,0,30,33,3,28,1,90–110,Trenta Iced,,
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,12.0,50,0,0.0,0.0,0.0,0,10,13,1,11,0,35–45,Tall,,
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,16.0,70,0,0.0,0.0,0.0,0,15,17,1,14,1,45–55,Grande,,
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,24.0,90,0,0.0,0.0,0.0,0,25,23,1,20,1,5–85,Venti Iced,,
refreshers,Violet Drink,12.0,90,20,2.0,2.0,0.0,0,0,17,1,15,0,35,Tall,,
refreshers,Violet Drink,16.0,110,25,3.0,2.5,0.0,0,0,22,1,19,0,45,Grande,,
refreshers,Violet Drink,24.0,160,35,4.0,4.0,0.0,0,0,31,1,28,1,70,Venti Iced,,
refreshers,Violet Drink,30.0,230,50,6.0,5.0,0.0,0,0,44,3,39,1,90,Trenta Iced,,
evolution-fresh,Evolution Fresh® Orange,11.0,170,0,0.0,0.0,0.0,0,10,39,0,35,3,0,,,
evolution-fresh,Evolution Fresh® Organic Defense Up,11.0,170,0,0.0,0.0,0.0,0,0,41,0,37,2,0,,,
evolution-fresh,Evolution Fresh® Organic Green Devotion,11.0,35,0,0.0,0.0,0.0,0,300,7,1,5,3,0,,,
evolution-fresh,Evolution Fresh® Organic Super Fruit Greens,11.0,180,0,0.0,0.0,0.0,0,170,41,3,36,3,0,,,
iced-tea,Nitro Lemon Fog,12.0,180,90,10.0,6.0,0.0,30,20,21,0,18,0,0,Tall,,
iced-tea,Nitro Lemon Fog,16.0,260,140,16.0,10.0,0.5,50,25,29,0,25,1,0,Grande,,
iced-tea,Nitro Lemon Fog,24.0,320,160,18.0,11.0,0.5,55,35,41,0,35,1,0,Venti Iced,,
iced-tea,Teavana® Shaken Iced Black Tea,30.0,70,0,0.0,0.0,0.0,0,20,19,0,19,0,50–55,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Black Tea,12.0,30,0,0.0,0.0,0.0,0,5,8,0,8,0,20–25,Tall,,
iced-tea,Teavana® Shaken Iced Black Tea,16.0,45,0,0.0,0.0,0.0,0,10,11,0,11,0,25–30,Grande,,
iced-tea,Teavana® Shaken Iced Black Tea,24.0,60,0,0.0,0.0,0.0,0,15,16,0,16,0,40–45,Venti Iced,,
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,30.0,170,0,0.0,0.0,0.0,0,20,43,0,41,0,50–55,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,12.0,70,0,0.0,0.0,0.0,0,5,17,0,16,0,20–25,Tall,,
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,16.0,90,0,0.0,0.0,0.0,0,10,23,0,22,0,25–30,Grande,,
iced-tea,Teavana® Shaken Iced Black Tea Lemonade,24.0,130,0,0.0,0.0,0.0,0,15,34,0,33,0,40–45,Venti Iced,,
iced-tea,Teavana® Shaken Iced Green Tea,30.0,70,0,0.0,0.0,0.0,0,20,19,0,19,0,50–55,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Green Tea,12.0,30,0,0.0,0.0,0.0,0,5,8,0,8,0,20–25,Tall,,
iced-tea,Teavana® Shaken Iced Green Tea,16.0,45,0,0.0,0.0,0.0,0,10,11,0,11,0,25–30,Grande,,
iced-tea,Teavana® Shaken Iced Green Tea,24.0,60,0,0.0,0.0,0.0,0,15,16,0,16,0,40–45,Venti Iced,,
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,30.0,170,0,0.0,0.0,0.0,0,15,43,0,41,0,50–55,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,12.0,70,0,0.0,0.0,0.0,0,5,17,0,16,0,20–25,Tall,,
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,16.0,90,0,0.0,0.0,0.0,0,10,23,0,22,0,25–30,Grande,,
iced-tea,Teavana® Shaken Iced Green Tea Lemonade,24.0,140,0,0.0,0.0,0.0,0,15,34,0,33,0,40–45,Venti Iced,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,30.0,70,0,0.0,0.0,0.0,0,20,19,0,19,0,0,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,12.0,30,0,0.0,0.0,0.0,0,5,8,0,8,0,0,Tall,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,16.0,45,0,0.0,0.0,0.0,0,10,11,0,11,0,0,Grande,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea,24.0,60,0,0.0,0.0,0.0,0,15,16,0,16,0,0,Venti Iced,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,30.0,170,0,0.0,0.0,0.0,0,15,43,0,41,0,0,Trenta Iced,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,12.0,70,0,0.0,0.0,0.0,0,5,17,0,16,0,0,Tall,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,16.0,90,0,0.0,0.0,0.0,0,10,23,0,22,0,0,Grande,,
iced-tea,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,24.0,140,0,0.0,0.0,0.0,0,15,34,0,33,0,0,Venti Iced,,
bottled-drinks,Starbucks® Iced Coffee Light Sweetened,8.0,50,0,0.0,0.0,0.0,0,0,11,0,11,1,110,,,
bottled-drinks,Starbucks® Iced Coffee Unsweetened,8.0,10,0,0.0,0.0,0.0,0,0,2,0,0,1,110,,,
bottled-drinks,Starbucks® Iced Latte - Pumpkin Spice Latte,14.0,270,40,4.5,3.0,0.0,15,190,45,0,42,11,150,,,
bottled-drinks,Teavana® Mango Black Tea,14.5,100,0,0.0,0.0,0.0,0,10,24,0,22,0,55,,,
bottled-drinks,Teavana® Pineapple Berry Iced Tea,14.5,90,0,0.0,0.0,0.0,0,10,22,0,21,0,0,,,
brewed-coffee,Blonde Roast,16.0,5,0,0.0,0.0,0.0,0,10,0,0,0,1,360,Grande,,
brewed-coffee,Blonde Roast,8.0,5,0,0.0,0.0,0.0,0,5,0,0,0,0,180,Short,,
brewed-coffee,Blonde Roast,12.0,5,0,0.0,0.0,0.0,0,10,0,0,0,0,270,Tall,,
brewed-coffee,Blonde Roast,20.0,5,0,0.0,0.0,0.0,0,10,0,0,0,1,475,Venti,,
brewed-coffee,Caffè Misto,8.0,30,15,2.0,0.0,0.0,0,50,2,0,2,1,75,Short,Almond,
brewed-coffee,Caffè Misto,8.0,40,20,2.5,2.5,0.0,0,45,4,0,3,0,75,Short,Coconut,
brewed-coffee,Caffè Misto,8.0,35,0,0.0,0.0,0.0,0,45,5,0,5,4,75,Short,Nonfat milk,
brewed-coffee,Caffè Misto,8.0,70,30,3.5,2.0,0.0,10,50,5,0,5,3,75,Short,Whole Milk,
brewed-coffee,Caffè Misto,8.0,50,20,2.0,1.0,0.0,10,50,5,0,5,4,75,Short,2% Milk,
brewed-coffee,Caffè Misto,8.0,50,15,1.5,0.0,0.0,0,40,6,0,5,3,75,Short,Soy (United States),
brewed-coffee,Caffè Misto,12.0,40,25,2.5,0.0,0.0,0,75,3,1,2,1,115,Tall,Almond,
brewed-coffee,Caffè Misto,12.0,60,35,3.5,3.5,0.0,0,70,6,0,5,1,115,Tall,Coconut,
brewed-coffee,Caffè Misto,12.0,60,0,0.0,0.0,0.0,5,70,8,0,8,6,115,Tall,Nonfat milk,
brewed-coffee,Caffè Misto,12.0,100,45,5.0,3.0,0.0,15,70,8,0,8,5,115,Tall,Whole Milk,
brewed-coffee,Caffè Misto,12.0,80,30,3.0,1.5,0.0,15,80,8,0,8,5,115,Tall,2% Milk,
brewed-coffee,Caffè Misto,12.0,80,20,2.5,0.0,0.0,0,60,10,1,8,4,115,Tall,Soy (United States),
brewed-coffee,Caffè Misto,16.0,50,30,3.5,0.0,0.0,0,95,4,1,3,2,115,Grande,Almond,
brewed-coffee,Caffè Misto,16.0,70,40,4.5,4.5,0.0,0,90,7,0,7,1,150,Grande,Coconut,
brewed-coffee,Caffè Misto,16.0,70,0,0.0,0.0,0.0,5,90,10,0,10,7,150,Grande,Nonfat milk,
brewed-coffee,Caffè Misto,16.0,130,60,7.0,4.0,0.0,20,95,10,0,10,7,150,Grande,Whole Milk,
brewed-coffee,Caffè Misto,16.0,110,35,4.0,2.0,0.0,15,100,10,0,10,7,150,Grande,2% Milk,
brewed-coffee,Caffè Misto,16.0,100,30,3.0,0.0,0.0,0,80,13,1,10,6,150,Grande,Soy (United States),
brewed-coffee,Caffè Misto,20.0,60,30,3.5,0.0,0.0,0,100,4,1,3,2,150,Venti,Almond,
brewed-coffee,Caffè Misto,20.0,80,45,5.0,4.5,0.0,0,90,7,0,7,1,195,Venti,Coconut,
brewed-coffee,Caffè Misto,20.0,90,0,0.0,0.0,0.0,5,115,13,0,13,9,195,Venti,Nonfat milk,
brewed-coffee,Caffè Misto,20.0,160,80,9.0,5.0,0.0,25,120,13,0,13,9,195,Venti,Whole Milk,
brewed-coffee,Caffè Misto,20.0,130,45,5.0,2.5,0.0,20,130,13,0,13,9,195,Venti,2% Milk,
brewed-coffee,Caffè Misto,20.0,130,35,4.0,0.5,0.0,0,100,16,1,13,7,195,Venti,Soy (United States),
brewed-coffee,Clover® Brewed Coffee,16.0,10,0,0.0,0.0,0.0,0,10,0,0,0,1,375,Grande,,
brewed-coffee,Clover® Brewed Coffee,8.0,10,0,0.0,0.0,0.0,0,5,0,0,0,0,170,Short,,
brewed-coffee,Clover® Brewed Coffee,12.0,10,0,0.0,0.0,0.0,0,10,0,0,0,0,280,Tall,,
brewed-coffee,Clover® Brewed Coffee,20.0,10,0,0.0,0.0,0.0,0,10,0,0,0,1,445,Venti,,
iced-coffee,Cold Brew with Cascara Cold Foam,12.0,50,0,0.0,0.0,0.0,0,25,11,0,11,1,145,Tall,,
iced-coffee,Cold Brew with Cascara Cold Foam,16.0,80,0,0.0,0.0,0.0,0,30,17,0,17,2,190,Grande,,
iced-coffee,Cold Brew with Cascara Cold Foam,24.0,100,0,0.0,0.0,0.0,0,40,22,0,22,2,280,Venti Iced,,
iced-coffee,Cold Brew with Cascara Cold Foam,30.0,130,0,0.0,0.0,0.0,0,45,28,0,28,2,320,Trenta Iced,,
brewed-coffee,Cold Brew with Cold Foam,12.0,30,0,0.0,0.0,0.0,0,20,5,0,5,1,155,Tall,,
brewed-coffee,Cold Brew with Cold Foam,16.0,35,0,0.0,0.0,0.0,0,30,7,0,7,2,205,Grande,,
brewed-coffee,Cold Brew with Cold Foam,24.0,40,0,0.0,0.0,0.0,0,35,7,0,7,2,310,Venti Iced,,
brewed-coffee,Cold Brew with Cold Foam,30.0,45,0,0.0,0.0,0.0,0,40,8,0,8,2,360,Trenta Iced,,
brewed-coffee,Cold Brew with Salted Cream Cold Foam,12.0,160,90,10.0,6.0,0.0,30,240,17,0,17,1,140,Tall,,
